parameter_pencemar_kritis,kategori,periode_data,bulan,tanggal,stasiun,pm_sepuluh,pm_duakomalima,sulfur_dioksida,karbon_monoksida,ozon,nitrogen_dioksida,max
PM25,SEDANG,202401,1,1,DKI5 Kebon Jeruk Jakarta Barat,58,99,40,18,55,12,99
PM25,SEDANG,202401,1,2,DKI5 Kebon Jeruk Jakarta Barat,40,68,40,9,65,11,68
O3,SEDANG,202401,1,3,DKI5 Kebon Jeruk Jakarta Barat,32,54,39,7,63,10,63
PM25,SEDANG,202401,1,4,DKI5 Kebon Jeruk Jakarta Barat,38,59,46,10,55,12,59
PM25,SEDANG,202401,1,5,DKI5 Kebon Jeruk Jakarta Barat,30,52,37,15,48,15,52
PM25,SEDANG,202401,1,6,DKI5 Kebon Jeruk Jakarta Barat,32,64,39,12,61,14,64
PM25,SEDANG,202401,1,7,DKI5 Kebon Jeruk Jakarta Barat,53,86,40,23,62,N/A,86
PM25,SEDANG,202401,1,8,DKI5 Kebon Jeruk Jakarta Barat,37,55,38,12,43,N/A,55
PM25,SEDANG,202401,1,9,DKI5 Kebon Jeruk Jakarta Barat,54,81,21,18,35,3,81
PM25,SEDANG,202401,1,10,DKI5 Kebon Jeruk Jakarta Barat,43,73,18,11,70,7,73
PM25,SEDANG,202401,1,11,DKI5 Kebon Jeruk Jakarta Barat,37,60,12,57,51,6,60
O3,BAIK,202401,1,12,DKI5 Kebon Jeruk Jakarta Barat,28,20,11,6,43,4,43
PM25,SEDANG,202401,1,13,DKI5 Kebon Jeruk Jakarta Barat,25,52,21,8,38,6,52
O3,SEDANG,202401,1,14,DKI5 Kebon Jeruk Jakarta Barat,30,50,19,8,58,6,58
PM25,SEDANG,202401,1,15,DKI5 Kebon Jeruk Jakarta Barat,51,81,24,11,55,11,81
PM25,BAIK,202401,1,16,DKI5 Kebon Jeruk Jakarta Barat,23,49,24,5,43,6,49
PM25,SEDANG,202401,1,17,DKI5 Kebon Jeruk Jakarta Barat,34,57,39,7,47,8,57
PM25,SEDANG,202401,1,18,DKI5 Kebon Jeruk Jakarta Barat,37,56,25,8,39,8,56
O3,BAIK,202401,1,19,DKI5 Kebon Jeruk Jakarta Barat,16,29,19,6,46,6,46
SO2,BAIK,202401,1,20,DKI5 Kebon Jeruk Jakarta Barat,17,28,33,7,23,6,33
PM25,SEDANG,202401,1,21,DKI5 Kebon Jeruk Jakarta Barat,26,51,37,10,18,5,51
SO2,BAIK,202401,1,22,DKI5 Kebon Jeruk Jakarta Barat,14,23,31,9,19,2,31
PM25,BAIK,202401,1,23,DKI5 Kebon Jeruk Jakarta Barat,17,40,31,9,17,3,40
PM25,BAIK,202401,1,24,DKI5 Kebon Jeruk Jakarta Barat,23,44,32,10,17,3,44
PM25,SEDANG,202401,1,25,DKI5 Kebon Jeruk Jakarta Barat,36,60,38,12,19,4,60
PM25,SEDANG,202401,1,26,DKI5 Kebon Jeruk Jakarta Barat,27,54,37,10,26,9,54
O3,BAIK,202401,1,27,DKI5 Kebon Jeruk Jakarta Barat,25,28,30,8,35,12,35
PM25,SEDANG,202401,1,28,DKI5 Kebon Jeruk Jakarta Barat,46,66,31,18,34,16,66
PM25,SEDANG,202401,1,29,DKI5 Kebon Jeruk Jakarta Barat,30,53,29,14,35,14,53
PM25,SEDANG,202401,1,30,DKI5 Kebon Jeruk Jakarta Barat,40,63,29,15,37,16,63
PM25,BAIK,202401,1,31,DKI5 Kebon Jeruk Jakarta Barat,22,49,33,9,40,17,49
PM25,SEDANG,202402,2,1,DKI5 Kebon Jeruk Jakarta Barat,51,82,34,17,33,22,82
PM25,SEDANG,202402,2,10,DKI5 Kebon Jeruk Jakarta Barat,33,60,28,6,46,11,60
PM25,SEDANG,202402,2,11,DKI5 Kebon Jeruk Jakarta Barat,46,69,26,14,31,13,69
PM25,SEDANG,202402,2,12,DKI5 Kebon Jeruk Jakarta Barat,30,54,24,11,37,12,54
PM25,SEDANG,202402,2,13,DKI5 Kebon Jeruk Jakarta Barat,31,54,22,9,39,12,54
O3,BAIK,202402,2,14,DKI5 Kebon Jeruk Jakarta Barat,N/A,37,21,9,45,11,45
PM25,SEDANG,202402,2,15,DKI5 Kebon Jeruk Jakarta Barat,32,58,24,11,38,15,58
PM25,SEDANG,202402,2,16,DKI5 Kebon Jeruk Jakarta Barat,53,78,23,18,39,26,78
PM25,SEDANG,202402,2,17,DKI5 Kebon Jeruk Jakarta Barat,43,67,22,12,32,18,67
PM25,SEDANG,202402,2,18,DKI5 Kebon Jeruk Jakarta Barat,31,57,23,11,35,16,57
PM25,SEDANG,202402,2,19,DKI5 Kebon Jeruk Jakarta Barat,49,81,22,19,31,23,81
PM25,SEDANG,202402,2,2,DKI5 Kebon Jeruk Jakarta Barat,47,68,26,18,28,9,68
PM25,SEDANG,202402,2,20,DKI5 Kebon Jeruk Jakarta Barat,40,69,22,10,36,13,69
O3,TIDAK SEHAT,202402,2,21,DKI5 Kebon Jeruk Jakarta Barat,55,94,20,12,115,18,115
PM25,SEDANG,202402,2,22,DKI5 Kebon Jeruk Jakarta Barat,53,76,21,8,72,14,76
O3,SEDANG,202402,2,23,DKI5 Kebon Jeruk Jakarta Barat,29,58,19,7,59,10,59
O3,SEDANG,202402,2,24,DKI5 Kebon Jeruk Jakarta Barat,28,53,24,9,59,8,59
PM25,BAIK,202402,2,25,DKI5 Kebon Jeruk Jakarta Barat,25,50,30,14,35,9,50
O3,BAIK,202402,2,26,DKI5 Kebon Jeruk Jakarta Barat,24,41,23,17,45,14,45
PM25,SEDANG,202402,2,27,DKI5 Kebon Jeruk Jakarta Barat,54,78,21,27,46,13,78
PM25,SEDANG,202402,2,28,DKI5 Kebon Jeruk Jakarta Barat,33,60,22,20,48,18,60
PM25,SEDANG,202402,2,29,DKI5 Kebon Jeruk Jakarta Barat,36,57,21,21,54,16,57
PM25,BAIK,202402,2,3,DKI5 Kebon Jeruk Jakarta Barat,24,48,25,12,29,10,48
O3,BAIK,202402,2,4,DKI5 Kebon Jeruk Jakarta Barat,17,24,23,7,27,4,27
PM25,SEDANG,202402,2,5,DKI5 Kebon Jeruk Jakarta Barat,35,68,24,15,32,12,68
PM25,SEDANG,202402,2,6,DKI5 Kebon Jeruk Jakarta Barat,59,74,25,16,38,14,74
PM25,SEDANG,202402,2,7,DKI5 Kebon Jeruk Jakarta Barat,31,52,27,11,25,8,52
PM25,SEDANG,202402,2,8,DKI5 Kebon Jeruk Jakarta Barat,40,66,25,11,28,8,66
PM25,SEDANG,202402,2,9,DKI5 Kebon Jeruk Jakarta Barat,45,77,37,12,41,18,77
PM25,SEDANG,202403,3,1,DKI5 Kebon Jeruk,52,82,21,29,50,13,82
PM25,SEDANG,202403,3,10,DKI5 Kebon Jeruk,56,92,25,36,48,18,92
PM25,SEDANG,202403,3,11,DKI5 Kebon Jeruk,42,60,20,24,57,9,60
PM25,SEDANG,202403,3,12,DKI5 Kebon Jeruk,30,56,21,15,51,10,56
PM25,SEDANG,202403,3,13,DKI5 Kebon Jeruk,40,64,22,17,53,13,64
PM25,SEDANG,202403,3,14,DKI5 Kebon Jeruk,35,61,21,18,57,16,61
PM25,BAIK,202403,3,15,DKI5 Kebon Jeruk,32,45,23,16,43,9,45
O3,BAIK,202403,3,16,DKI5 Kebon Jeruk,21,33,23,14,46,9,46
O3,BAIK,202403,3,17,DKI5 Kebon Jeruk,26,39,23,12,45,7,45
O3,BAIK,202403,3,18,DKI5 Kebon Jeruk,18,39,27,12,41,7,41
PM25,BAIK,202403,3,19,DKI5 Kebon Jeruk,21,50,23,14,34,6,50
PM25,SEDANG,202403,3,2,DKI5 Kebon Jeruk,41,69,23,21,54,21,69
PM25,SEDANG,202403,3,20,DKI5 Kebon Jeruk,23,54,22,15,22,5,54
PM25,SEDANG,202403,3,21,DKI5 Kebon Jeruk,40,65,27,16,31,7,65
O3,SEDANG,202403,3,22,DKI5 Kebon Jeruk,31,43,21,17,55,14,55
PM25,TIDAK SEHAT,202403,3,23,DKI5 Kebon Jeruk,59,108,23,39,59,19,108
PM25,SEDANG,202403,3,24,DKI5 Kebon Jeruk,54,83,25,19,74,16,83
O3,SEDANG,202403,3,25,DKI5 Kebon Jeruk,42,64,30,18,65,15,65
PM25,SEDANG,202403,3,26,DKI5 Kebon Jeruk,51,81,25,23,58,22,81
PM25,SEDANG,202403,3,27,DKI5 Kebon Jeruk,56,86,24,23,59,25,86
PM25,TIDAK SEHAT,202403,3,28,DKI5 Kebon Jeruk,63,109,27,26,61,22,109
PM25,TIDAK SEHAT,202403,3,29,DKI5 Kebon Jeruk,65,104,27,24,70,26,104
PM25,SEDANG,202403,3,3,DKI5 Kebon Jeruk,35,54,22,19,51,14,54
PM25,SEDANG,202403,3,30,DKI5 Kebon Jeruk,60,87,24,25,68,21,87
PM25,SEDANG,202403,3,31,DKI5 Kebon Jeruk,57,94,22,28,79,22,94
PM25,SEDANG,202403,3,4,DKI5 Kebon Jeruk,33,60,22,18,42,10,60
O3,BAIK,202403,3,5,DKI5 Kebon Jeruk,18,38,21,14,46,6,46
O3,BAIK,202403,3,6,DKI5 Kebon Jeruk,18,34,23,13,49,6,49
O3,BAIK,202403,3,7,DKI5 Kebon Jeruk,22,28,22,13,48,6,48
O3,BAIK,202403,3,8,DKI5 Kebon Jeruk,17,28,22,12,46,4,46
O3,BAIK,202403,3,9,DKI5 Kebon Jeruk,27,41,25,14,45,10,45
PM25,TIDAK SEHAT,202404,4,1,DKI5 Kebon Jeruk,64,104,22,30,76,28,104
PM25,SEDANG,202404,4,10,DKI5 Kebon Jeruk,57,85,24,25,62,17,85
O3,SEDANG,202404,4,11,DKI5 Kebon Jeruk,35,58,24,17,62,15,62
O3,SEDANG,202404,4,12,DKI5 Kebon Jeruk,25,51,22,14,74,8,74
O3,SEDANG,202404,4,13,DKI5 Kebon Jeruk,35,61,24,23,62,16,62
O3,SEDANG,202404,4,14,DKI5 Kebon Jeruk,28,55,22,15,79,8,79
O3,SEDANG,202404,4,15,DKI5 Kebon Jeruk,30,54,23,20,62,14,62
O3,SEDANG,202404,4,16,DKI5 Kebon Jeruk,23,53,25,17,60,11,60
O3,SEDANG,202404,4,17,DKI5 Kebon Jeruk,41,71,23,18,77,14,77
PM25,SEDANG,202404,4,18,DKI5 Kebon Jeruk,44,69,23,21,67,18,69
PM25,SEDANG,202404,4,19,DKI5 Kebon Jeruk,34,61,25,18,57,19,61
PM25,TIDAK SEHAT,202404,4,2,DKI5 Kebon Jeruk,72,120,23,35,69,32,120
PM25,SEDANG,202404,4,20,DKI5 Kebon Jeruk,57,90,27,25,59,19,90
PM10,SEDANG,202404,4,21,DKI5 Kebon Jeruk,68,60,23,20,67,15,68
PM25,SEDANG,202404,4,22,DKI5 Kebon Jeruk,56,85,24,26,56,22,85
PM25,SEDANG,202404,4,23,DKI5 Kebon Jeruk,52,78,23,22,61,20,78
PM25,SEDANG,202404,4,24,DKI5 Kebon Jeruk,52,78,25,21,70,20,78
O3,SEDANG,202404,4,25,DKI5 Kebon Jeruk,49,75,23,22,83,22,83
PM25,SEDANG,202404,4,26,DKI5 Kebon Jeruk,47,70,30,14,45,13,70
PM25,SEDANG,202404,4,27,DKI5 Kebon Jeruk,51,75,23,26,59,17,75
PM25,SEDANG,202404,4,28,DKI5 Kebon Jeruk,49,72,23,20,68,15,72
O3,SEDANG,202404,4,29,DKI5 Kebon Jeruk,44,66,24,17,72,12,72
PM25,SEDANG,202404,4,3,DKI5 Kebon Jeruk,58,95,24,24,74,27,95
PM25,SEDANG,202404,4,30,DKI5 Kebon Jeruk,47,75,24,18,73,17,75
PM25,SEDANG,202404,4,4,DKI5 Kebon Jeruk,51,77,24,28,62,24,77
PM25,TIDAK SEHAT,202404,4,5,DKI5 Kebon Jeruk,74,125,22,31,69,27,125
PM25,SEDANG,202404,4,6,DKI5 Kebon Jeruk,55,83,24,22,55,15,83
PM25,SEDANG,202404,4,7,DKI5 Kebon Jeruk,52,77,24,20,71,12,77
O3,SEDANG,202404,4,8,DKI5 Kebon Jeruk,45,73,25,18,77,13,77
PM25,SEDANG,202404,4,9,DKI5 Kebon Jeruk,41,68,27,15,60,10,68
PM25,SEDANG,202405,5,1,DKI5 Kebon Jeruk,41,64,23,17,64,13,64
PM25,SEDANG,202405,5,10,DKI5 Kebon Jeruk,54,80,26,16,61,12,80
PM25,SEDANG,202405,5,11,DKI5 Kebon Jeruk,52,82,25,17,65,14,82
PM25,SEDANG,202405,5,12,DKI5 Kebon Jeruk,56,87,25,23,53,16,87
PM25,SEDANG,202405,5,13,DKI5 Kebon Jeruk,45,72,24,16,59,11,72
PM25,TIDAK SEHAT,202405,5,14,DKI5 Kebon Jeruk,60,101,25,23,61,22,101
PM25,SEDANG,202405,5,15,DKI5 Kebon Jeruk,59,91,26,23,57,21,91
PM25,TIDAK SEHAT,202405,5,16,DKI5 Kebon Jeruk,61,101,28,19,62,20,101
PM25,SEDANG,202405,5,17,DKI5 Kebon Jeruk,57,90,28,17,58,17,90
PM25,TIDAK SEHAT,202405,5,18,DKI5 Kebon Jeruk,60,101,27,21,59,22,101
PM25,SEDANG,202405,5,19,DKI5 Kebon Jeruk,58,95,26,20,58,15,95
PM25,SEDANG,202405,5,2,DKI5 Kebon Jeruk,53,81,23,17,62,13,81
PM25,SEDANG,202405,5,20,DKI5 Kebon Jeruk,57,96,27,20,63,17,96
PM25,TIDAK SEHAT,202405,5,21,DKI5 Kebon Jeruk,62,101,29,21,65,21,101
PM25,TIDAK SEHAT,202405,5,22,DKI5 Kebon Jeruk,68,108,28,21,66,21,108
PM25,SEDANG,202405,5,23,DKI5 Kebon Jeruk,66,80,24,20,60,17,80
PM25,SEDANG,202405,5,24,DKI5 Kebon Jeruk,57,83,24,22,57,20,83
O3,SEDANG,202405,5,25,DKI5 Kebon Jeruk,29,53,25,18,57,17,57
PM25,SEDANG,202405,5,26,DKI5 Kebon Jeruk,62,94,31,26,57,22,94
PM25,SEDANG,202405,5,27,DKI5 Kebon Jeruk,60,95,30,22,65,20,95
PM25,TIDAK SEHAT,202405,5,28,DKI5 Kebon Jeruk,66,110,27,26,64,26,110
PM25,SEDANG,202405,5,29,DKI5 Kebon Jeruk,56,87,26,17,62,14,87
PM25,SEDANG,202405,5,3,DKI5 Kebon Jeruk,58,95,24,18,75,17,95
PM25,SEDANG,202405,5,30,DKI5 Kebon Jeruk,54,95,28,18,66,19,95
PM25,TIDAK SEHAT,202405,5,31,DKI5 Kebon Jeruk,62,111,28,21,69,22,111
PM25,SEDANG,202405,5,4,DKI5 Kebon Jeruk,62,97,26,22,57,27,97
PM25,SEDANG,202405,5,5,DKI5 Kebon Jeruk,60,97,26,23,58,21,97
PM25,SEDANG,202405,5,6,DKI5 Kebon Jeruk,56,86,26,18,60,17,86
PM25,TIDAK SEHAT,202405,5,7,DKI5 Kebon Jeruk,68,111,28,21,54,26,111
PM25,TIDAK SEHAT,202405,5,8,DKI5 Kebon Jeruk,65,107,28,20,58,23,107
PM25,TIDAK SEHAT,202405,5,9,DKI5 Kebon Jeruk,66,109,28,22,60,20,109
PM25,TIDAK SEHAT,202406,6,1,DKI5 Kebon Jeruk,70,124,28,25,67,26,124
PM25,TIDAK SEHAT,202406,6,10,DKI5 Kebon Jeruk,60,104,28,27,61,25,104
PM25,SEDANG,202406,6,11,DKI5 Kebon Jeruk,53,88,27,20,73,18,88
PM25,SEDANG,202406,6,12,DKI5 Kebon Jeruk,56,92,26,27,66,27,92
PM25,SEDANG,202406,6,13,DKI5 Kebon Jeruk,44,70,29,21,45,19,70
PM25,SEDANG,202406,6,14,DKI5 Kebon Jeruk,39,69,33,19,53,18,69
PM25,SEDANG,202406,6,15,DKI5 Kebon Jeruk,46,77,29,23,46,22,77
PM25,SEDANG,202406,6,16,DKI5 Kebon Jeruk,44,74,28,23,63,23,74
PM25,SEDANG,202406,6,17,DKI5 Kebon Jeruk,47,77,28,20,53,14,77
PM25,TIDAK SEHAT,202406,6,18,DKI5 Kebon Jeruk,67,124,29,25,52,14,124
PM25,TIDAK SEHAT,202406,6,19,DKI5 Kebon Jeruk,67,112,30,29,48,22,112
PM25,TIDAK SEHAT,202406,6,2,DKI5 Kebon Jeruk,66,112,27,24,70,21,112
PM25,SEDANG,202406,6,20,DKI5 Kebon Jeruk,54,88,32,19,48,18,88
PM25,TIDAK SEHAT,202406,6,21,DKI5 Kebon Jeruk,64,110,34,23,38,24,110
PM25,TIDAK SEHAT,202406,6,22,DKI5 Kebon Jeruk,63,105,32,22,51,19,105
PM25,SEDANG,202406,6,23,DKI5 Kebon Jeruk,61,97,34,21,35,16,97
PM25,TIDAK SEHAT,202406,6,24,DKI5 Kebon Jeruk,60,103,33,22,39,20,103
PM25,SEDANG,202406,6,25,DKI5 Kebon Jeruk,58,91,35,21,39,18,91
PM25,SEDANG,202406,6,26,DKI5 Kebon Jeruk,55,84,31,29,29,13,84
PM25,SEDANG,202406,6,27,DKI5 Kebon Jeruk,47,74,34,18,41,16,74
PM25,SEDANG,202406,6,28,DKI5 Kebon Jeruk,46,70,35,24,45,19,70
PM25,SEDANG,202406,6,29,DKI5 Kebon Jeruk,55,87,30,30,46,14,87
O3,SEDANG,202406,6,3,DKI5 Kebon Jeruk,43,66,24,18,76,16,76
PM25,SEDANG,202406,6,30,DKI5 Kebon Jeruk,38,66,31,22,35,16,66
PM25,SEDANG,202406,6,4,DKI5 Kebon Jeruk,58,100,24,28,71,25,100
PM25,TIDAK SEHAT,202406,6,5,DKI5 Kebon Jeruk,74,128,25,31,71,31,128
PM25,SEDANG,202406,6,6,DKI5 Kebon Jeruk,52,84,29,18,50,18,84
PM25,TIDAK SEHAT,202406,6,7,DKI5 Kebon Jeruk,60,103,27,21,68,22,103
PM25,TIDAK SEHAT,202406,6,8,DKI5 Kebon Jeruk,63,109,30,24,58,22,109
PM25,SEDANG,202406,6,9,DKI5 Kebon Jeruk,60,99,28,20,72,19,99
PM25,SEDANG,202407,7,1,DKI5 Kebon Jeruk,N/A,94,34,21,44,17,94
PM25,SEDANG,202407,7,10,DKI5 Kebon Jeruk,N/A,77,35,18,44,15,77
PM25,TIDAK SEHAT,202407,7,11,DKI5 Kebon Jeruk,66,117,33,27,25,23,117
PM25,SEDANG,202407,7,12,DKI5 Kebon Jeruk,53,96,34,22,36,20,96
PM25,TIDAK SEHAT,202407,7,13,DKI5 Kebon Jeruk,65,112,34,29,25,32,112
PM25,TIDAK SEHAT,202407,7,14,DKI5 Kebon Jeruk,59,104,33,25,27,23,104
PM25,SEDANG,202407,7,15,DKI5 Kebon Jeruk,52,89,35,22,31,20,89
PM25,SEDANG,202407,7,16,DKI5 Kebon Jeruk,53,99,34,24,37,24,99
PM25,SEDANG,202407,7,17,DKI5 Kebon Jeruk,57,99,35,25,27,25,99
PM25,SEDANG,202407,7,18,DKI5 Kebon Jeruk,52,89,37,20,36,17,89
PM25,SEDANG,202407,7,19,DKI5 Kebon Jeruk,47,93,34,20,53,15,93
PM25,SEDANG,202407,7,2,DKI5 Kebon Jeruk,48,74,28,19,45,16,74
PM25,SEDANG,202407,7,20,DKI5 Kebon Jeruk,51,91,35,19,54,17,91
PM25,SEDANG,202407,7,21,DKI5 Kebon Jeruk,45,88,33,18,58,13,88
PM25,SEDANG,202407,7,22,DKI5 Kebon Jeruk,39,82,32,18,61,13,82
PM25,SEDANG,202407,7,23,DKI5 Kebon Jeruk,47,85,35,18,52,14,85
PM25,SEDANG,202407,7,24,DKI5 Kebon Jeruk,53,95,38,19,41,16,95
PM25,SEDANG,202407,7,25,DKI5 Kebon Jeruk,44,84,34,19,47,15,84
PM25,SEDANG,202407,7,26,DKI5 Kebon Jeruk,53,90,34,20,37,16,90
PM25,SEDANG,202407,7,27,DKI5 Kebon Jeruk,52,91,36,19,44,16,91
PM25,TIDAK SEHAT,202407,7,28,DKI5 Kebon Jeruk,55,104,34,20,54,14,104
PM25,SEDANG,202407,7,29,DKI5 Kebon Jeruk,44,94,34,20,46,15,94
PM25,TIDAK SEHAT,202407,7,3,DKI5 Kebon Jeruk,N/A,121,31,33,43,25,121
PM25,TIDAK SEHAT,202407,7,30,DKI5 Kebon Jeruk,53,102,33,21,39,19,102
PM25,TIDAK SEHAT,202407,7,31,DKI5 Kebon Jeruk,59,112,34,22,42,22,112
PM25,SEDANG,202407,7,4,DKI5 Kebon Jeruk,N/A,84,30,29,N/A,25,84
PM25,SEDANG,202407,7,5,DKI5 Kebon Jeruk,N/A,78,38,24,23,27,78
PM25,BAIK,202407,7,6,DKI5 Kebon Jeruk,N/A,43,33,20,17,16,43
PM25,BAIK,202407,7,7,DKI5 Kebon Jeruk,N/A,45,32,24,19,13,45
PM25,SEDANG,202407,7,8,DKI5 Kebon Jeruk,N/A,60,34,22,31,14,60
PM25,SEDANG,202407,7,9,DKI5 Kebon Jeruk,N/A,66,30,22,36,23,66
PM25,TIDAK SEHAT,202408,8,1,DKI5 Kebon Jeruk,57,107,32,20,55,15,107
PM25,SEDANG,202408,8,10,DKI5 Kebon Jeruk,43,89,35,18,43,15,89
PM25,SEDANG,202408,8,11,DKI5 Kebon Jeruk,43,85,32,17,51,10,85
PM25,SEDANG,202408,8,12,DKI5 Kebon Jeruk,36,86,33,18,42,11,86
