periode_data,bulan,tanggal,stasiun,karbon_monoksida
202401,1,1,DKI5  Kebon Jeruk  Jakarta Barat,18
202401,1,2,DKI5  Kebon Jeruk  Jakarta Barat,9
202401,1,3,DKI5  Kebon Jeruk  Jakarta Barat,7
202401,1,4,DKI5  Kebon Jeruk  Jakarta Barat,10
202401,1,5,DKI5  Kebon Jeruk  Jakarta Barat,15
202401,1,6,DKI5  Kebon Jeruk  Jakarta Barat,12
202401,1,7,DKI5  Kebon Jeruk  Jakarta Barat,23
202401,1,8,DKI5  Kebon Jeruk  Jakarta Barat,12
202401,1,9,DKI5  Kebon Jeruk  Jakarta Barat,18
202401,1,10,DKI5  Kebon Jeruk  Jakarta Barat,11
202401,1,11,DKI5  Kebon Jeruk  Jakarta Barat,57
202401,1,12,DKI5  Kebon Jeruk  Jakarta Barat,6
202401,1,13,DKI5  Kebon Jeruk  Jakarta Barat,8
202401,1,14,DKI5  Kebon Jeruk  Jakarta Barat,8
202401,1,15,DKI5  Kebon Jeruk  Jakarta Barat,11
202401,1,16,DKI5  Kebon Jeruk  Jakarta Barat,5
202401,1,17,DKI5  Kebon Jeruk  Jakarta Barat,7
202401,1,18,DKI5  Kebon Jeruk  Jakarta Barat,8
202401,1,19,DKI5  Kebon Jeruk  Jakarta Barat,6
202401,1,20,DKI5  Kebon Jeruk  Jakarta Barat,7
202401,1,21,DKI5  Kebon Jeruk  Jakarta Barat,10
202401,1,22,DKI5  Kebon Jeruk  Jakarta Barat,9
202401,1,23,DKI5  Kebon Jeruk  Jakarta Barat,9
202401,1,24,DKI5  Kebon Jeruk  Jakarta Barat,10
202401,1,25,DKI5  Kebon Jeruk  Jakarta Barat,12
202401,1,26,DKI5  Kebon Jeruk  Jakarta Barat,10
202401,1,27,DKI5  Kebon Jeruk  Jakarta Barat,8
202401,1,28,DKI5  Kebon Jeruk  Jakarta Barat,18
202401,1,29,DKI5  Kebon Jeruk  Jakarta Barat,14
202401,1,30,DKI5  Kebon Jeruk  Jakarta Barat,15
202401,1,31,DKI5  Kebon Jeruk  Jakarta Barat,9
202402,2,1,DKI5  Kebon Jeruk  Jakarta Barat,17
202402,2,10,DKI5  Kebon Jeruk  Jakarta Barat,6
202402,2,11,DKI5  Kebon Jeruk  Jakarta Barat,14
202402,2,12,DKI5  Kebon Jeruk  Jakarta Barat,11
202402,2,13,DKI5  Kebon Jeruk  Jakarta Barat,9
202402,2,14,DKI5  Kebon Jeruk  Jakarta Barat,9
202402,2,15,DKI5  Kebon Jeruk  Jakarta Barat,11
202402,2,16,DKI5  Kebon Jeruk  Jakarta Barat,18
202402,2,17,DKI5  Kebon Jeruk  Jakarta Barat,12
202402,2,18,DKI5  Kebon Jeruk  Jakarta Barat,11
202402,2,19,DKI5  Kebon Jeruk  Jakarta Barat,19
202402,2,2,DKI5  Kebon Jeruk  Jakarta Barat,18
202402,2,20,DKI5  Kebon Jeruk  Jakarta Barat,10
202402,2,21,DKI5  Kebon Jeruk  Jakarta Barat,12
202402,2,22,DKI5  Kebon Jeruk  Jakarta Barat,8
202402,2,23,DKI5  Kebon Jeruk  Jakarta Barat,7
202402,2,24,DKI5  Kebon Jeruk  Jakarta Barat,9
202402,2,25,DKI5  Kebon Jeruk  Jakarta Barat,14
202402,2,26,DKI5  Kebon Jeruk  Jakarta Barat,17
202402,2,27,DKI5  Kebon Jeruk  Jakarta Barat,27
202402,2,28,DKI5  Kebon Jeruk  Jakarta Barat,20
202402,2,29,DKI5  Kebon Jeruk  Jakarta Barat,21
202402,2,3,DKI5  Kebon Jeruk  Jakarta Barat,12
202402,2,4,DKI5  Kebon Jeruk  Jakarta Barat,7
202402,2,5,DKI5  Kebon Jeruk  Jakarta Barat,15
202402,2,6,DKI5  Kebon Jeruk  Jakarta Barat,16
202402,2,7,DKI5  Kebon Jeruk  Jakarta Barat,11
202402,2,8,DKI5  Kebon Jeruk  Jakarta Barat,11
202402,2,9,DKI5  Kebon Jeruk  Jakarta Barat,12
202403,3,1,DKI5  Kebon Jeruk  Jakarta Barat,29
202403,3,10,DKI5  Kebon Jeruk  Jakarta Barat,36
202403,3,11,DKI5  Kebon Jeruk  Jakarta Barat,24
202403,3,12,DKI5  Kebon Jeruk  Jakarta Barat,15
202403,3,13,DKI5  Kebon Jeruk  Jakarta Barat,17
202403,3,14,DKI5  Kebon Jeruk  Jakarta Barat,18
202403,3,15,DKI5  Kebon Jeruk  Jakarta Barat,16
202403,3,16,DKI5  Kebon Jeruk  Jakarta Barat,14
202403,3,17,DKI5  Kebon Jeruk  Jakarta Barat,12
202403,3,18,DKI5  Kebon Jeruk  Jakarta Barat,12
202403,3,19,DKI5  Kebon Jeruk  Jakarta Barat,14
202403,3,2,DKI5  Kebon Jeruk  Jakarta Barat,21
202403,3,20,DKI5  Kebon Jeruk  Jakarta Barat,15
202403,3,21,DKI5  Kebon Jeruk  Jakarta Barat,16
202403,3,22,DKI5  Kebon Jeruk  Jakarta Barat,17
202403,3,23,DKI5  Kebon Jeruk  Jakarta Barat,39
202403,3,24,DKI5  Kebon Jeruk  Jakarta Barat,19
202403,3,25,DKI5  Kebon Jeruk  Jakarta Barat,18
202403,3,26,DKI5  Kebon Jeruk  Jakarta Barat,23
202403,3,27,DKI5  Kebon Jeruk  Jakarta Barat,23
202403,3,28,DKI5  Kebon Jeruk  Jakarta Barat,26
202403,3,29,DKI5  Kebon Jeruk  Jakarta Barat,24
202403,3,3,DKI5  Kebon Jeruk  Jakarta Barat,19
202403,3,30,DKI5  Kebon Jeruk  Jakarta Barat,25
202403,3,31,DKI5  Kebon Jeruk  Jakarta Barat,28
202403,3,4,DKI5  Kebon Jeruk  Jakarta Barat,18
202403,3,5,DKI5  Kebon Jeruk  Jakarta Barat,14
202403,3,6,DKI5  Kebon Jeruk  Jakarta Barat,13
202403,3,7,DKI5  Kebon Jeruk  Jakarta Barat,13
202403,3,8,DKI5  Kebon Jeruk  Jakarta Barat,12
202403,3,9,DKI5  Kebon Jeruk  Jakarta Barat,14
202404,4,1,DKI5  Kebon Jeruk  Jakarta Barat,30
