year,month,day,stasiun,pm10,pm25,sulfur_dioksida,karbon_monoksida,ozon,nitrogen_dioksida
2024,1,1,DKI5  Kebon Jeruk  Jakarta Barat,58.0,99.0,40.0,18.0,55.0,12.0
2024,1,2,DKI5  Kebon Jeruk  Jakarta Barat,40.0,68.0,40.0,9.0,65.0,11.0
2024,1,3,DKI5  Kebon Jeruk  Jakarta Barat,32.0,54.0,39.0,7.0,63.0,10.0
2024,1,4,DKI5  Kebon Jeruk  Jakarta Barat,38.0,59.0,46.0,10.0,55.0,12.0
2024,1,5,DKI5  Kebon Jeruk  Jakarta Barat,30.0,52.0,37.0,15.0,48.0,15.0
2024,1,6,DKI5  Kebon Jeruk  Jakarta Barat,32.0,64.0,39.0,12.0,61.0,14.0
2024,1,7,DKI5  Kebon Jeruk  Jakarta Barat,53.0,86.0,40.0,23.0,62.0,14.0
2024,1,8,DKI5  Kebon Jeruk  Jakarta Barat,37.0,55.0,38.0,12.0,43.0,14.0
2024,1,9,DKI5  Kebon Jeruk  Jakarta Barat,54.0,81.0,21.0,18.0,35.0,3.0
2024,1,10,DKI5  Kebon Jeruk  Jakarta Barat,43.0,73.0,18.0,11.0,70.0,7.0
2024,1,11,DKI5  Kebon Jeruk  Jakarta Barat,37.0,60.0,12.0,57.0,51.0,6.0
2024,1,12,DKI5  Kebon Jeruk  Jakarta Barat,28.0,20.0,11.0,6.0,43.0,4.0
2024,1,13,DKI5  Kebon Jeruk  Jakarta Barat,25.0,52.0,21.0,8.0,38.0,6.0
2024,1,14,DKI5  Kebon Jeruk  Jakarta Barat,30.0,50.0,19.0,8.0,58.0,6.0
2024,1,15,DKI5  Kebon Jeruk  Jakarta Barat,51.0,81.0,24.0,11.0,55.0,11.0
2024,1,16,DKI5  Kebon Jeruk  Jakarta Barat,23.0,49.0,24.0,5.0,43.0,6.0
2024,1,17,DKI5  Kebon Jeruk  Jakarta Barat,34.0,57.0,39.0,7.0,47.0,8.0
2024,1,18,DKI5  Kebon Jeruk  Jakarta Barat,37.0,56.0,25.0,8.0,39.0,8.0
2024,1,19,DKI5  Kebon Jeruk  Jakarta Barat,16.0,29.0,19.0,6.0,46.0,6.0
2024,1,20,DKI5  Kebon Jeruk  Jakarta Barat,17.0,28.0,33.0,7.0,23.0,6.0
2024,1,21,DKI5  Kebon Jeruk  Jakarta Barat,26.0,51.0,37.0,10.0,18.0,5.0
2024,1,22,DKI5  Kebon Jeruk  Jakarta Barat,14.0,23.0,31.0,9.0,19.0,2.0
2024,1,23,DKI5  Kebon Jeruk  Jakarta Barat,17.0,40.0,31.0,9.0,17.0,3.0
2024,1,24,DKI5  Kebon Jeruk  Jakarta Barat,23.0,44.0,32.0,10.0,17.0,3.0
2024,1,25,DKI5  Kebon Jeruk  Jakarta Barat,36.0,60.0,38.0,12.0,19.0,4.0
2024,1,26,DKI5  Kebon Jeruk  Jakarta Barat,27.0,54.0,37.0,10.0,26.0,9.0
2024,1,27,DKI5  Kebon Jeruk  Jakarta Barat,25.0,28.0,30.0,8.0,35.0,12.0
2024,1,28,DKI5  Kebon Jeruk  Jakarta Barat,46.0,66.0,31.0,18.0,34.0,16.0
2024,1,29,DKI5  Kebon Jeruk  Jakarta Barat,30.0,53.0,29.0,14.0,35.0,14.0
2024,1,30,DKI5  Kebon Jeruk  Jakarta Barat,40.0,63.0,29.0,15.0,37.0,16.0
2024,1,31,DKI5  Kebon Jeruk  Jakarta Barat,22.0,49.0,33.0,9.0,40.0,17.0
2024,2,1,DKI5  Kebon Jeruk  Jakarta Barat,51.0,82.0,34.0,17.0,33.0,22.0
2024,2,2,DKI5  Kebon Jeruk  Jakarta Barat,47.0,68.0,26.0,18.0,28.0,9.0
2024,2,3,DKI5  Kebon Jeruk  Jakarta Barat,24.0,48.0,25.0,12.0,29.0,10.0
2024,2,4,DKI5  Kebon Jeruk  Jakarta Barat,17.0,24.0,23.0,7.0,27.0,4.0
2024,2,5,DKI5  Kebon Jeruk  Jakarta Barat,35.0,68.0,24.0,15.0,32.0,12.0
2024,2,6,DKI5  Kebon Jeruk  Jakarta Barat,59.0,74.0,25.0,16.0,38.0,14.0
2024,2,7,DKI5  Kebon Jeruk  Jakarta Barat,31.0,52.0,27.0,11.0,25.0,8.0
2024,2,8,DKI5  Kebon Jeruk  Jakarta Barat,40.0,66.0,25.0,11.0,28.0,8.0
2024,2,9,DKI5  Kebon Jeruk  Jakarta Barat,45.0,77.0,37.0,12.0,41.0,18.0
2024,2,10,DKI5  Kebon Jeruk  Jakarta Barat,33.0,60.0,28.0,6.0,46.0,11.0
2024,2,11,DKI5  Kebon Jeruk  Jakarta Barat,46.0,69.0,26.0,14.0,31.0,13.0
2024,2,12,DKI5  Kebon Jeruk  Jakarta Barat,30.0,54.0,24.0,11.0,37.0,12.0
2024,2,13,DKI5  Kebon Jeruk  Jakarta Barat,31.0,54.0,22.0,9.0,39.0,12.0
2024,2,14,DKI5  Kebon Jeruk  Jakarta Barat,31.0,37.0,21.0,9.0,45.0,11.0
2024,2,15,DKI5  Kebon Jeruk  Jakarta Barat,32.0,58.0,24.0,11.0,38.0,15.0
2024,2,16,DKI5  Kebon Jeruk  Jakarta Barat,53.0,78.0,23.0,18.0,39.0,26.0
2024,2,17,DKI5  Kebon Jeruk  Jakarta Barat,43.0,67.0,22.0,12.0,32.0,18.0
2024,2,18,DKI5  Kebon Jeruk  Jakarta Barat,31.0,57.0,23.0,11.0,35.0,16.0
2024,2,19,DKI5  Kebon Jeruk  Jakarta Barat,49.0,81.0,22.0,19.0,31.0,23.0
2024,2,20,DKI5  Kebon Jeruk  Jakarta Barat,40.0,69.0,22.0,10.0,36.0,13.0
2024,2,21,DKI5  Kebon Jeruk  Jakarta Barat,55.0,94.0,20.0,12.0,115.0,18.0
2024,2,22,DKI5  Kebon Jeruk  Jakarta Barat,53.0,76.0,21.0,8.0,72.0,14.0
2024,2,23,DKI5  Kebon Jeruk  Jakarta Barat,29.0,58.0,19.0,7.0,59.0,10.0
2024,2,24,DKI5  Kebon Jeruk  Jakarta Barat,28.0,53.0,24.0,9.0,59.0,8.0
2024,2,25,DKI5  Kebon Jeruk  Jakarta Barat,25.0,50.0,30.0,14.0,35.0,9.0
2024,2,26,DKI5  Kebon Jeruk  Jakarta Barat,24.0,41.0,23.0,17.0,45.0,14.0
2024,2,27,DKI5  Kebon Jeruk  Jakarta Barat,54.0,78.0,21.0,27.0,46.0,13.0
2024,2,28,DKI5  Kebon Jeruk  Jakarta Barat,33.0,60.0,22.0,20.0,48.0,18.0
2024,2,29,DKI5  Kebon Jeruk  Jakarta Barat,36.0,57.0,21.0,21.0,54.0,16.0
2024,3,1,DKI5  Kebon Jeruk  Jakarta Barat,52.0,82.0,21.0,29.0,50.0,13.0
2024,3,2,DKI5  Kebon Jeruk  Jakarta Barat,41.0,69.0,23.0,21.0,54.0,21.0
2024,3,3,DKI5  Kebon Jeruk  Jakarta Barat,35.0,54.0,22.0,19.0,51.0,14.0
2024,3,4,DKI5  Kebon Jeruk  Jakarta Barat,33.0,60.0,22.0,18.0,42.0,10.0
2024,3,5,DKI5  Kebon Jeruk  Jakarta Barat,18.0,38.0,21.0,14.0,46.0,6.0
2024,3,6,DKI5  Kebon Jeruk  Jakarta Barat,18.0,34.0,23.0,13.0,49.0,6.0
2024,3,7,DKI5  Kebon Jeruk  Jakarta Barat,22.0,28.0,22.0,13.0,48.0,6.0
2024,3,8,DKI5  Kebon Jeruk  Jakarta Barat,17.0,28.0,22.0,12.0,46.0,4.0
2024,3,9,DKI5  Kebon Jeruk  Jakarta Barat,27.0,41.0,25.0,14.0,45.0,10.0
2024,3,10,DKI5  Kebon Jeruk  Jakarta Barat,56.0,92.0,25.0,36.0,48.0,18.0
2024,3,11,DKI5  Kebon Jeruk  Jakarta Barat,42.0,60.0,20.0,24.0,57.0,9.0
2024,3,12,DKI5  Kebon Jeruk  Jakarta Barat,30.0,56.0,21.0,15.0,51.0,10.0
2024,3,13,DKI5  Kebon Jeruk  Jakarta Barat,40.0,64.0,22.0,17.0,53.0,13.0
2024,3,14,DKI5  Kebon Jeruk  Jakarta Barat,35.0,61.0,21.0,18.0,57.0,16.0
2024,3,15,DKI5  Kebon Jeruk  Jakarta Barat,32.0,45.0,23.0,16.0,43.0,9.0
2024,3,16,DKI5  Kebon Jeruk  Jakarta Barat,21.0,33.0,23.0,14.0,46.0,9.0
2024,3,17,DKI5  Kebon Jeruk  Jakarta Barat,26.0,39.0,23.0,12.0,45.0,7.0
2024,3,18,DKI5  Kebon Jeruk  Jakarta Barat,18.0,39.0,27.0,12.0,41.0,7.0
2024,3,19,DKI5  Kebon Jeruk  Jakarta Barat,21.0,50.0,23.0,14.0,34.0,6.0
2024,3,20,DKI5  Kebon Jeruk  Jakarta Barat,23.0,54.0,22.0,15.0,22.0,5.0
2024,3,21,DKI5  Kebon Jeruk  Jakarta Barat,40.0,65.0,27.0,16.0,31.0,7.0
2024,3,22,DKI5  Kebon Jeruk  Jakarta Barat,31.0,43.0,21.0,17.0,55.0,14.0
2024,3,23,DKI5  Kebon Jeruk  Jakarta Barat,59.0,108.0,23.0,39.0,59.0,19.0
2024,3,24,DKI5  Kebon Jeruk  Jakarta Barat,54.0,83.0,25.0,19.0,74.0,16.0
2024,3,25,DKI5  Kebon Jeruk  Jakarta Barat,42.0,64.0,30.0,18.0,65.0,15.0
2024,3,26,DKI5  Kebon Jeruk  Jakarta Barat,51.0,81.0,25.0,23.0,58.0,22.0
2024,3,27,DKI5  Kebon Jeruk  Jakarta Barat,56.0,86.0,24.0,23.0,59.0,25.0
2024,3,28,DKI5  Kebon Jeruk  Jakarta Barat,63.0,109.0,27.0,26.0,61.0,22.0
2024,3,29,DKI5  Kebon Jeruk  Jakarta Barat,65.0,104.0,27.0,24.0,70.0,26.0
2024,3,30,DKI5  Kebon Jeruk  Jakarta Barat,60.0,87.0,24.0,25.0,68.0,21.0
2024,3,31,DKI5  Kebon Jeruk  Jakarta Barat,57.0,94.0,22.0,28.0,79.0,22.0
2024,4,1,DKI5  Kebon Jeruk  Jakarta Barat,64.0,104.0,22.0,30.0,76.0,28.0
2024,4,2,DKI5  Kebon Jeruk  Jakarta Barat,72.0,120.0,23.0,35.0,69.0,32.0
2024,4,3,DKI5  Kebon Jeruk  Jakarta Barat,58.0,95.0,24.0,24.0,74.0,27.0
2024,4,4,DKI5  Kebon Jeruk  Jakarta Barat,51.0,77.0,24.0,28.0,62.0,24.0
2024,4,5,DKI5  Kebon Jeruk  Jakarta Barat,74.0,125.0,22.0,31.0,69.0,27.0
2024,4,6,DKI5  Kebon Jeruk  Jakarta Barat,55.0,83.0,24.0,22.0,55.0,15.0
2024,4,7,DKI5  Kebon Jeruk  Jakarta Barat,52.0,77.0,24.0,20.0,71.0,12.0
2024,4,8,DKI5  Kebon Jeruk  Jakarta Barat,45.0,73.0,25.0,18.0,77.0,13.0
2024,4,9,DKI5  Kebon Jeruk  Jakarta Barat,41.0,68.0,27.0,15.0,60.0,10.0
2024,4,10,DKI5  Kebon Jeruk  Jakarta Barat,57.0,85.0,24.0,25.0,62.0,17.0
2024,4,11,DKI5  Kebon Jeruk  Jakarta Barat,35.0,58.0,24.0,17.0,62.0,15.0
2024,4,12,DKI5  Kebon Jeruk  Jakarta Barat,25.0,51.0,22.0,14.0,74.0,8.0
2024,4,13,DKI5  Kebon Jeruk  Jakarta Barat,35.0,61.0,24.0,23.0,62.0,16.0
2024,4,14,DKI5  Kebon Jeruk  Jakarta Barat,28.0,55.0,22.0,15.0,79.0,8.0
2024,4,15,DKI5  Kebon Jeruk  Jakarta Barat,30.0,54.0,23.0,20.0,62.0,14.0
2024,4,16,DKI5  Kebon Jeruk  Jakarta Barat,23.0,53.0,25.0,17.0,60.0,11.0
2024,4,17,DKI5  Kebon Jeruk  Jakarta Barat,41.0,71.0,23.0,18.0,77.0,14.0
