tahun,bulan,tanggal,stasiun,karbon_monoksida
2024,1,1,DKI5  Kebon Jeruk  Jakarta Barat,18.0
2024,1,2,DKI5  Kebon Jeruk  Jakarta Barat,9.0
2024,1,3,DKI5  Kebon Jeruk  Jakarta Barat,7.0
2024,1,4,DKI5  Kebon Jeruk  Jakarta Barat,10.0
2024,1,5,DKI5  Kebon Jeruk  Jakarta Barat,15.0
2024,1,6,DKI5  Kebon Jeruk  Jakarta Barat,12.0
2024,1,7,DKI5  Kebon Jeruk  Jakarta Barat,23.0
2024,1,8,DKI5  Kebon Jeruk  Jakarta Barat,12.0
2024,1,9,DKI5  Kebon Jeruk  Jakarta Barat,18.0
2024,1,10,DKI5  Kebon Jeruk  Jakarta Barat,11.0
2024,1,11,DKI5  Kebon Jeruk  Jakarta Barat,57.0
2024,1,12,DKI5  Kebon Jeruk  Jakarta Barat,6.0
2024,1,13,DKI5  Kebon Jeruk  Jakarta Barat,8.0
2024,1,14,DKI5  Kebon Jeruk  Jakarta Barat,8.0
2024,1,15,DKI5  Kebon Jeruk  Jakarta Barat,11.0
2024,1,16,DKI5  Kebon Jeruk  Jakarta Barat,5.0
2024,1,17,DKI5  Kebon Jeruk  Jakarta Barat,7.0
2024,1,18,DKI5  Kebon Jeruk  Jakarta Barat,8.0
2024,1,19,DKI5  Kebon Jeruk  Jakarta Barat,6.0
2024,1,20,DKI5  Kebon Jeruk  Jakarta Barat,7.0
2024,1,21,DKI5  Kebon Jeruk  Jakarta Barat,10.0
2024,1,22,DKI5  Kebon Jeruk  Jakarta Barat,9.0
2024,1,23,DKI5  Kebon Jeruk  Jakarta Barat,9.0
2024,1,24,DKI5  Kebon Jeruk  Jakarta Barat,10.0
2024,1,25,DKI5  Kebon Jeruk  Jakarta Barat,12.0
2024,1,26,DKI5  Kebon Jeruk  Jakarta Barat,10.0
2024,1,27,DKI5  Kebon Jeruk  Jakarta Barat,8.0
2024,1,28,DKI5  Kebon Jeruk  Jakarta Barat,18.0
2024,1,29,DKI5  Kebon Jeruk  Jakarta Barat,14.0
2024,1,30,DKI5  Kebon Jeruk  Jakarta Barat,15.0
2024,1,31,DKI5  Kebon Jeruk  Jakarta Barat,9.0
2024,2,1,DKI5  Kebon Jeruk  Jakarta Barat,17.0
2024,2,2,DKI5  Kebon Jeruk  Jakarta Barat,18.0
2024,2,3,DKI5  Kebon Jeruk  Jakarta Barat,12.0
2024,2,4,DKI5  Kebon Jeruk  Jakarta Barat,7.0
2024,2,5,DKI5  Kebon Jeruk  Jakarta Barat,15.0
2024,2,6,DKI5  Kebon Jeruk  Jakarta Barat,16.0
2024,2,7,DKI5  Kebon Jeruk  Jakarta Barat,11.0
2024,2,8,DKI5  Kebon Jeruk  Jakarta Barat,11.0
2024,2,9,DKI5  Kebon Jeruk  Jakarta Barat,12.0
2024,2,10,DKI5  Kebon Jeruk  Jakarta Barat,6.0
2024,2,11,DKI5  Kebon Jeruk  Jakarta Barat,14.0
2024,2,12,DKI5  Kebon Jeruk  Jakarta Barat,11.0
2024,2,13,DKI5  Kebon Jeruk  Jakarta Barat,9.0
2024,2,14,DKI5  Kebon Jeruk  Jakarta Barat,9.0
2024,2,15,DKI5  Kebon Jeruk  Jakarta Barat,11.0
2024,2,16,DKI5  Kebon Jeruk  Jakarta Barat,18.0
